flow_surveyId,flow_question_group,flow_question_label,flow_question_id,mis_id,mis_question_group,mis_question_label,mis_question_id
8520967,Backup Power Supply,Issues with the backup generator ?,277540920,1749652214711,Backup Power Supply,Issues with the backup generator ?,1749699931981
8520967,Backup Power Supply,Is the backup generator well maintained and functional?,311440969,1749652214711,Backup Power Supply,Is the backup generator well maintained and functional?,1749699885495
8520967,Backup Power Supply,Take a picture of the generator ?,311460924,1749652214711,Backup Power Supply,Take a picture of the generator ?,1749700127090
8520967,Backup Power Supply,Do you have a backup generator at this Facility,311470920,1749652214711,Backup Power Supply,Do you have a backup generator at this Facility,1749653134928
8520967,Chemicals,Are there any risk associated with Lime dosing?,11160920,1749652214711,Chemicals,What chemicals are use for water treatment on the day of Inspection ?;Is prechlorination carried out in the plant?;What is the dosage rate for Chlorine (kg per day) for prechlorination?;What dosing method is used for Prechlorination?;Are there any risks associated with prechlorination system?;What are the issues / risks? Please Provide Details of the Primary risks / issues for Prechlorination:;Please identify any issues or risks associated with Storage in relation to Prechlorination;Take a photo of the risks associated with Storage in relation to Prechlorination;Please identify any issues or risks associated with Dosage in relation to Prechlorination;Take a photo of the risks associated with Dosage in relation to Prechlorination;Please identify any issues or risks associated with Handling in relation to Prechlorination;Take a photo of the risks associated with Handling in relation to Prechlorination;Please identify any issues or risks associated with Leakage in relation to Prechlorination;Take a photo of the risks associated with Leakage in relation to Prechlorination;Please specify other issues / risks;Take a Photo of the risks/ Prechlorination system.;What is the dosage rate for Alum (bags/kg per day) on a daily basis?;What dosing method is used for Alum?;Are there any risks associated with Alum dosing?;What are the risks associated with Alum dosing?;Please specify other risks associated with Alum dosing;Take a Photo of the risk/Alum dosing system;What is the dosage rate for Soda Ash (bags/kg per day) on a daily basis?;What dosing method is used for Soda Ash?;Are there any risks associated with Soda Ash dosing?;What are the risks associated with Soda Ash dosing?;Please specify other risks associated with Soda Ash dosing;Take photo of risk/Soda Ash Dosing System;What is the dosage rate for Polymer (bags/kg per day) on a daily basis?;What dosing method is used for Polymer?;Are there any issues / risks associated with Polymer dosing?;Please Provide Details of the issues/ risks for Polymer Dosing;Please specify other issues / risks for Polymer dosing;Take Photo of the risks/Polymer dosing system;What is the dosage rate for Lima (bags/kg per day) on a daily basis?;What is the dosing method used for Lime?;Are there any issues / risk associated with Lime dosing?;What are the Issues / risks? Please Provide Details of the issues /issues for Lime Dosing:;Please specify other issues / risks for Lime dosing;Take photo of the risk/Lime dosing system?,1749652997590;1749695649473;1749695682354;1749695714514;1749695817762;1749695890176;1754995400056;1754995400057;1754995400058;1754995400059;1754995400060;1754995400061;1754995400062;1754995400063;1749695950021;1749695958674;1749695997834;1749696061091;1749696125775;1749696173219;1749696239821;1749696282743;1749696353491;1749696386016;1749696429991;1749696465230;1749696521533;1749696535862;1749696582472;1749696610120;1749696644615;1749696684785;1749696723533;1749696736345;1749696884554;1749696913958;1749696956618;1749696996243;1749697035806;1749697047271
8520967,Chemicals,What is the dosage rate of Lime in grams per cubic meter?,12130920,1749652214711,Chemicals,What chemicals are use for water treatment on the day of Inspection ?;Is prechlorination carried out in the plant?;What is the dosage rate for Chlorine (kg per day) for prechlorination?;What dosing method is used for Prechlorination?;Are there any risks associated with prechlorination system?;What are the issues / risks? Please Provide Details of the Primary risks / issues for Prechlorination:;Please identify any issues or risks associated with Storage in relation to Prechlorination;Take a photo of the risks associated with Storage in relation to Prechlorination;Please identify any issues or risks associated with Dosage in relation to Prechlorination;Take a photo of the risks associated with Dosage in relation to Prechlorination;Please identify any issues or risks associated with Handling in relation to Prechlorination;Take a photo of the risks associated with Handling in relation to Prechlorination;Please identify any issues or risks associated with Leakage in relation to Prechlorination;Take a photo of the risks associated with Leakage in relation to Prechlorination;Please specify other issues / risks;Take a Photo of the risks/ Prechlorination system.;What is the dosage rate for Alum (bags/kg per day) on a daily basis?;What dosing method is used for Alum?;Are there any risks associated with Alum dosing?;What are the risks associated with Alum dosing?;Please specify other risks associated with Alum dosing;Take a Photo of the risk/Alum dosing system;What is the dosage rate for Soda Ash (bags/kg per day) on a daily basis?;What dosing method is used for Soda Ash?;Are there any risks associated with Soda Ash dosing?;What are the risks associated with Soda Ash dosing?;Please specify other risks associated with Soda Ash dosing;Take photo of risk/Soda Ash Dosing System;What is the dosage rate for Polymer (bags/kg per day) on a daily basis?;What dosing method is used for Polymer?;Are there any issues / risks associated with Polymer dosing?;Please Provide Details of the issues/ risks for Polymer Dosing;Please specify other issues / risks for Polymer dosing;Take Photo of the risks/Polymer dosing system;What is the dosage rate for Lima (bags/kg per day) on a daily basis?;What is the dosing method used for Lime?;Are there any issues / risk associated with Lime dosing?;What are the Issues / risks? Please Provide Details of the issues /issues for Lime Dosing:;Please specify other issues / risks for Lime dosing;Take photo of the risk/Lime dosing system?,1749652997590;1749695649473;1749695682354;1749695714514;1749695817762;1749695890176;1754995400056;1754995400057;1754995400058;1754995400059;1754995400060;1754995400061;1754995400062;1754995400063;1749695950021;1749695958674;1749695997834;1749696061091;1749696125775;1749696173219;1749696239821;1749696282743;1749696353491;1749696386016;1749696429991;1749696465230;1749696521533;1749696535862;1749696582472;1749696610120;1749696644615;1749696684785;1749696723533;1749696736345;1749696884554;1749696913958;1749696956618;1749696996243;1749697035806;1749697047271
8520967,Chemicals,What is the dosing method used for Lime?,12130921,1749652214711,Chemicals,What is the dosing method used for Lime?,1749696913958
8520967,Chemicals,Take photo of the risk/Lime dosing system?,15110920,1749652214711,Chemicals,Take photo of the risk/Lime dosing system?,1749697047271
8520967,Chemicals,What are the risks?,1680929,1749652214711,Chemicals,What chemicals are use for water treatment on the day of Inspection ?;Is prechlorination carried out in the plant?;What is the dosage rate for Chlorine (kg per day) for prechlorination?;What dosing method is used for Prechlorination?;Are there any risks associated with prechlorination system?;What are the issues / risks? Please Provide Details of the Primary risks / issues for Prechlorination:;Please identify any issues or risks associated with Storage in relation to Prechlorination;Take a photo of the risks associated with Storage in relation to Prechlorination;Please identify any issues or risks associated with Dosage in relation to Prechlorination;Take a photo of the risks associated with Dosage in relation to Prechlorination;Please identify any issues or risks associated with Handling in relation to Prechlorination;Take a photo of the risks associated with Handling in relation to Prechlorination;Please identify any issues or risks associated with Leakage in relation to Prechlorination;Take a photo of the risks associated with Leakage in relation to Prechlorination;Please specify other issues / risks;Take a Photo of the risks/ Prechlorination system.;What is the dosage rate for Alum (bags/kg per day) on a daily basis?;What dosing method is used for Alum?;Are there any risks associated with Alum dosing?;What are the risks associated with Alum dosing?;Please specify other risks associated with Alum dosing;Take a Photo of the risk/Alum dosing system;What is the dosage rate for Soda Ash (bags/kg per day) on a daily basis?;What dosing method is used for Soda Ash?;Are there any risks associated with Soda Ash dosing?;What are the risks associated with Soda Ash dosing?;Please specify other risks associated with Soda Ash dosing;Take photo of risk/Soda Ash Dosing System;What is the dosage rate for Polymer (bags/kg per day) on a daily basis?;What dosing method is used for Polymer?;Are there any issues / risks associated with Polymer dosing?;Please Provide Details of the issues/ risks for Polymer Dosing;Please specify other issues / risks for Polymer dosing;Take Photo of the risks/Polymer dosing system;What is the dosage rate for Lima (bags/kg per day) on a daily basis?;What is the dosing method used for Lime?;Are there any issues / risk associated with Lime dosing?;What are the Issues / risks? Please Provide Details of the issues /issues for Lime Dosing:;Please specify other issues / risks for Lime dosing;Take photo of the risk/Lime dosing system?,1749652997590;1749695649473;1749695682354;1749695714514;1749695817762;1749695890176;1754995400056;1754995400057;1754995400058;1754995400059;1754995400060;1754995400061;1754995400062;1754995400063;1749695950021;1749695958674;1749695997834;1749696061091;1749696125775;1749696173219;1749696239821;1749696282743;1749696353491;1749696386016;1749696429991;1749696465230;1749696521533;1749696535862;1749696582472;1749696610120;1749696644615;1749696684785;1749696723533;1749696736345;1749696884554;1749696913958;1749696956618;1749696996243;1749697035806;1749697047271
8520967,Chemicals,Is prechlorination carried out in the plant?,18390920,1749652214711,Chemicals,Is prechlorination carried out in the plant?,1749695649473
