flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method
17260923,Activated Sludge System,Take photo of Activated Sludge System,11470925,,,,,67.8,none,none
17260923,Activated Sludge System,Comment on the operation of the Activated Sludge System,19230923,,,,,64.71,none,none
17260923,Anaerobic Lagoons,Take photo of anaerobic lagoon,12500923,,,,,66.67,none,none
17260923,Anaerobic Lagoons,Comment on the Anaerobic lagoons,14500932,,,,,64.71,none,none
17260923,Constraints and Recommendations,Do you have any work related constraints?,12470933,,,,,54.05,none,none
17260923,Constraints and Recommendations,Please provide details for constraints,13480932,,,,,43.24,none,none
17260923,Constraints and Recommendations,What are the final recommendations from the DWS staff  on the overall operations and remedial actions for the plant?,14490927,,,,,76.47,none,none
17260923,Constraints and Recommendations,Signature of DWS Staff,14540922,,,,,52.94,none,none
17260923,Constraints and Recommendations,Any final recommendation?,19180933,,,,,52.38,none,none
17260923,Constraints and Recommendations,What are your final recommendations?,19200932,,,,,60.47,none,none
17260923,Drying Beds,Comment on the drying beds,14500935,,,,,58.82,none,none
17260923,Drying Beds,Take photo of drying beds,15520929,,,,,71.79,none,none
17260923,Effluent Pumping,Take photo of the effluent pump station?,29480925,,,,,78.69,none,none
17260923,Effluent Pumping,Are there any effluent pump station?,30120923,,,,,62.07,none,none
17260923,Effluent Pumping,Are you able to take photo of effluent pump station?,30120924,,,,,66.67,none,none
17260923,Effluent Pumping,Comment on the effluent pump station?,30150921,,,,,58.82,none,none
17260923,Facultative Ponds,Comment on the operation of the facultative pond,27750920,,,,,70.59,none,none
17260923,Facultative Ponds,Take photo of Facultative Pond,30120920,,,,,70.83,none,none
17260923,Flow Indicators,Describe the inflow at the inlet?,11430929,,,,,53.33,none,none
17260923,Flow Indicators,Take photo of the inlet,12490921,1748903240763,WAF Registration,Take photo of the treatment plant,1748904831222,90.48,medium,text_similarity
17260923,Flow Indicators,What is the inflow rate in cubic meters per day?,13480930,,,,,72.94,none,none
17260923,Flow Indicators,Is there a inflow meter?,17280930,,,,,54.17,none,none
17260923,General Information on Plant Conditions,Do you have urgent maintenance programs?,10530930,,,,,52.63,none,none
17260923,General Information on Plant Conditions,Ground Conditions,10540926,,,,,52.94,none,none
17260923,General Information on Plant Conditions,Condition of fence for security purpose,11430927,,,,,47.62,none,none
17260923,General Information on Plant Conditions,Working tools?,12460931,,,,,42.86,none,none
17260923,General Information on Plant Conditions,Please provide details of these programs?,12460934,,,,,58.82,none,none
17260923,General Information on Plant Conditions,Take photo,12470927,1748903240763,WAF Registration,Take photo of the treatment plant,1748904831222,100.0,high,text_similarity
17260923,General Information on Plant Conditions,Take photo,13470925,1748903240763,WAF Registration,Take photo of the treatment plant,1748904831222,100.0,high,text_similarity
17260923,General Information on Plant Conditions,Transport availability,13470926,,,,,48.65,none,none
17260923,General Information on Plant Conditions,Take photo,14460928,1748903240763,WAF Registration,Take photo of the treatment plant,1748904831222,100.0,high,text_similarity
17260923,General Information on Plant Conditions,Security lights,15490927,,,,,41.67,none,none
17260923,General Information on Plant Conditions,Building Conditions,15510925,,,,,52.63,none,none
17260923,General Information on Plant Conditions,Do you have any upgrading programs?,17270934,,,,,51.61,none,none
17260923,General Information on Plant Conditions,Do you have planned preventative maintenance programs?,17280926,,,,,60.61,none,none
17260923,General Information on Plant Conditions,Please provide details of these programs?,17280928,,,,,58.82,none,none
17260923,General Information on Plant Conditions,Please provide details of these programs?,17290928,,,,,58.82,none,none
17260923,General Information on Plant Conditions,OHS equipment available?,19180929,,,,,47.83,none,none
17260923,Influent Pumping,Are you able to take photo of the Influent Pump Station?,16570945,,,,,69.7,none,none
17260923,Influent Pumping,Comment on the influent pumping system,18150922,,,,,58.82,none,none
17260923,Influent Pumping,Take photo of the influent pumping station,19240926,,,,,75.41,none,none
17260923,Influent Pumping,Are there any influent pump station?,21890959,,,,,62.07,none,none
17260923,Maturation Pond,Comment on the operation of the Maturation Pond,27740971,,,,,64.71,none,none
17260923,Maturation Pond,Take Photo of the Maturation pond,27740972,1748903240763,WAF Registration,Take photo of the treatment plant,1748904831222,80.65,low,text_similarity
17260923,Plant Effluent,Take photo of effluent sampling point,18140931,,,,,69.84,none,none
17260923,Plant Effluent,Comment on the plant effluent,19250925,1748903240763,WAF Registration,Name of the Plant,1748903442166,82.35,low,text_similarity
17260923,Plant Effluent,Method of Testing for plant effluent,23260920,,,,,58.06,none,none
17260923,Plant Effluent,What is the BOD in mg/L?,26220920,,,,,74.42,none,none
17260923,Plant Effluent,What is the Nitrate level in mg/L?,283670995,,,,,61.54,none,none
17260923,Plant Effluent,What is the Total Phosphorus in mg/L?,283680996,,,,,76.67,none,none
17260923,Plant Effluent,Are you able to take the sample?,28590921,,,,,56.25,none,none
17260923,Plant Effluent,What is the TSS in mg/L?,291250987,,,,,74.42,none,none
17260923,Plant Effluent,What is the Ammonia level in mg/L?,291250988,,,,,61.54,none,none
17260923,Plant Effluent,What is the Total Alkalinity in mg/L?,291260997,,,,,72.73,none,none
17260923,Plant Effluent,What is the COD in mg/L?,297600977,,,,,74.42,none,none
17260923,Plant Effluent,What is the Salinity in ppt?,303340967,,,,,69.39,none,none
17260923,Plant Effluent,What is the pH?,309320993,1748903240763,WAF Registration,What is the total population connected to this plant?,1748905778961,88.89,medium,text_similarity
17260923,Plant Effluent,What is the Nitrite Level in mg/L?,311400997,,,,,61.54,none,none
17260923,Plant Effluent,What is the Total Nitrogen level in mg/L?,311410997,,,,,65.71,none,none
17260923,Plant Effluent,What is the Conductivity in µS/cm,313530924,,,,,65.38,none,none
17260923,Plant Effluent,What is the Chloride level in mg/L?,315190996,,,,,62.96,none,none
17260923,Preliminary Treatment,Comment on operation of the screening system,12480921,,,,,58.82,none,none
17260923,Preliminary Treatment,Take photo of the screens,16230922,1748903240763,WAF Registration,Take photo of the treatment plant,1748904831222,86.96,medium,text_similarity
17260923,Preliminary Treatment,Comment on the operation of the grit removal system,19240920,,,,,64.71,none,none
17260923,Preliminary Treatment,Take photo of the grit removal system,19240924,,,,,75.0,none,none
17260923,Primary Clarifiers,Comment on the operation of the primary clarifiers,15520924,,,,,64.71,none,none
17260923,Primary Clarifiers,Take photo of primary clarifier,19220924,,,,,65.38,none,none
17260923,Secondary Clarifiers,Comment on the operation of the secondary clarifiers,11470927,,,,,64.71,none,none
17260923,Secondary Clarifiers,Take photo of the secondary clarifier,18140928,,,,,72.41,none,none
