Division,Province,Tikina,Village
Central,Naitasiri,Lutu,Lutu
Central,Naitasiri,Lutu,Navuniyaro
Central,Naitasiri,Lutu,Nukuloa
Central,Naitasiri,Matailobau,Nairukuruku
Central,Naitasiri,Matailobau,Navuniyasi
Central,Naitasiri,Matailobau,Taulevu
Central,Naitasiri,Matailobau,Delaitoga
Central,Naitasiri,Matailobau,Nabena
Central,Naitasiri,Matailobau,Matailobau
Central,Naitasiri,Muaira,Matainasau
Central,Naitasiri,Muaira,Waibasaga
Central,Naitasiri,Muaira,Botenaulu
Central,Naitasiri,Muaira,Nabukunivatu
Central,Naitasiri,Muaira,Bulibulinakuro
Central,Naitasiri,Muaira,Lutu
Central,Naitasiri,Muaira,Nadovu
Central,Naitasiri,Nabaitavo,Nabaitavo
Central,Naitasiri,Nabaitavo,Natavea
Central,Naitasiri,Naboubuco,Naqelewai
Central,Naitasiri,Naboubuco,Rewasau
Central,Naitasiri,Naboubuco,Nasiriti
Central,Naitasiri,Naboubuco,Nasoqo
Central,Naitasiri,Naboubuco,Roma
Central,Naitasiri,Naboubuco,Navai
Central,Naitasiri,Nadaravakawalu,Naivucini
Central,Naitasiri,Nadaravakawalu,Saumakia
Central,Naitasiri,Nadaravakawalu,Naitauvoli
Central,Naitasiri,Nadaravakawalu,Nuku
Central,Naitasiri,Nagonenicolo,Nakorosule
Central,Naitasiri,Nagonenicolo,Waibalavu
Central,Naitasiri,Nagonenicolo,Waisomo
Central,Naitasiri,Nagonenicolo,Wairuarua
Central,Naitasiri,Nagonenicolo,Nasalia
Central,Naitasiri,Nagonenicolo,Laselevu
Central,Naitasiri,Nagonenicolo,Udu
Central,Naitasiri,Nagonenicolo,Dreketi
Central,Naitasiri,Nagonenicolo,Nakida
Central,Naitasiri,Naitasiri,Navuso
Central,Naitasiri,Naitasiri,Tamavua
Central,Naitasiri,Naitasiri,Kalabu
Central,Naitasiri,Naitasiri,Vuniniudrovu
Central,Naitasiri,Naitasiri,Kasavu
Central,Naitasiri,Naitasiri,Nacokaika
Central,Naitasiri,Naitasiri,Naganivatu
Central,Naitasiri,Naitasiri,Nakini
Central,Naitasiri,Naitasiri,Natowaika
Central,Naitasiri,Naitasiri,Deladamanu
Central,Naitasiri,Naitasiri,Waitolu
Central,Naitasiri,Navuakece,Naterumai
Central,Naitasiri,Navuakece,Navutu
Central,Naitasiri,Navuakece,Korovou
Central,Naitasiri,Navuakece,Vatulili
Central,Naitasiri,Navuakece,Delaiwaimale
Central,Naitasiri,Navuakece,Waisa
Central,Naitasiri,Navuakece,Vatukorosia
Central,Naitasiri,Navuakece,Waisasavu
Central,Naitasiri,Nawaidina,Nabukaluka
Central,Naitasiri,Nawaidina,Nadakuni
Central,Naitasiri,Nawaidina,Lomai
Central,Naitasiri,Nawaidina,Vanuakula
Central,Naitasiri,Nawaidina,Nauluvatu
Central,Naitasiri,Nawaidina,Navurevure
Central,Naitasiri,Nawaidina,Wainawaqa
Central,Naitasiri,Nawaidina,Nasirotu
Central,Naitasiri,Nawaidina,Nasele
Central,Naitasiri,Nawaidina,Naseuvou
Central,Naitasiri,Nawaidina,Delailasakau
Central,Naitasiri,Noimalu,Narokorokoyawa
Central,Naitasiri,Noimalu,Korovou
Central,Naitasiri,Noimalu,Matawailevu
Central,Naitasiri,Noimalu,Nasava
Central,Naitasiri,Noimalu,Nasauvere
Central,Naitasiri,Noimalu,Tubarua
Central,Naitasiri,Rara,Naluwai
Central,Naitasiri,Rara,Waidracia
Central,Naitasiri,Rara,Nasavu
Central,Naitasiri,Soloira,Waikalou
Central,Naitasiri,Soloira,Navatukia
Central,Naitasiri,Soloira,Vunidawa
Central,Naitasiri,Viria,Viria
Central,Naitasiri,Viria,Naqali
Central,Naitasiri,Viria,Namuamua
Central,Naitasiri,Viria,Gusuisavu
Central,Naitasiri,Viria,Navolau
Central,Naitasiri,Viria,Nawaqabena
Central,Naitasiri,Vuna,Sawani
Central,Naitasiri,Vuna,Navatuvula
Central,Naitasiri,Vuna,Colo-i-suva
Central,Naitasiri,Waima,Nakorovatu
Central,Naitasiri,Waima,Naqara
Central,Naitasiri,Waima,Vuisiga
Central,Namosi,Namosi,Namosi
Central,Namosi,Namosi,Navunibau
Central,Namosi,Namosi,Navuniyasitu
Central,Namosi,Namosi,Narukunibua
Central,Namosi,Namosi,Waivaka
Central,Namosi,Naqarawai,Naqarawai
Central,Namosi,Naqarawai,Wainimakutu
Central,Namosi,Naqarawai,Naraiyawa
Central,Namosi,Veinuqa,Nasoqo
Central,Namosi,Veinuqa,Wainilotulevu
Central,Namosi,Veinuqa,Wainiyavu
Central,Namosi,Veinuqa,Buratu
Central,Namosi,Veinuqa,Vunidavo
Central,Namosi,Veivatuloa,Veivatuloa
Central,Namosi,Veivatuloa,Mau
Central,Namosi,Veivatuloa,Nabukavesi
Central,Namosi,Veivatuloa,Qilai
Central,Namosi,Veivatuloa,Navunisoco
Central,Namosi,Veivatuloa,Lobau
