flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
27040920,Comments and Recommendations,Comments from DWS Staff,18910928,1749627302948,Comments and Recommendations,"Comments and Recommendations |
Comments from DWS Staff",1749627734073,100,high,text_similarity,3002
27040920,Comments and Recommendations,Comments from Supervisor,27080934,1749627302948,Comments and Recommendations,"Comments and Recommendations |
Comments from Supervisor",1749627698340,100,high,text_similarity,3001
27040920,General Information on Pump Station,Odour,18940921,,,,,57.14,none,none,
27040920,General Information on Pump Station,OHS equipment,20400926,,,,,50,none,none,
27040920,General Information on Pump Station,Security gate and Fencing,21280921,,,,,57.14,none,none,
27040920,General Information on Pump Station,Pump Station Lid,21290925,,,,,90,medium,manual,
27040920,General Information on Pump Station,Power Backup System,22220932,,,,,50,none,none,
27040920,General Information on Pump Station,Log Book available and updated?,22250920,,,,,48.28,none,none,
27040920,General Information on Pump Station,Lights,22260921,,,,,50,none,none,
27040920,General Information on Pump Station,Sluice valve,23240925,,,,,40,none,none,
27040920,General Information on Pump Station,Hour Run Meter,23270921,,,,,47.62,none,none,
27040920,General Information on Pump Station,Building Conditions,24210922,,,,,51.61,none,none,
27040920,General Information on Pump Station,Ground Conditions,24230921,,,,,50,none,none,
27040920,General Information on Pump Station,Water Supply,24280923,,,,,58.33,none,none,
27040920,General Information on Pump Station,Non return Valve,25150924,,,,,50,none,none,
27040920,General Information on Pump Station,Ventilation,26190921,,,,,70.59,none,none,
27040920,General Information on Pump Station,Gantry,26190922,,,,,66.67,none,none,
27040920,General Information on Pump Station,Electrical Panel,26220925,,,,,48.28,none,none,
27040920,General Information on Pump Station,Fats/Grease Balls,27090923,,,,,41.18,none,none,
27040920,General Information on Pump Station,Volt Meter,27100924,,,,,52.63,none,none,
27040920,General Information on Pump Station,Guardrails for Pump Sation,28100925,,,,,73.33,none,none,
27040920,General Information on Pump Station,Amp Meter,28110928,,,,,55.56,none,none,
27040920,Pump Station Registration,Which Division are you in?,20330920,,,,,53.33,none,none,
27040920,Pump Station Registration,Name of Pump Station,22190920,,,,,88.89,medium,manual,
27040920,Pump Station Registration,Which District are you in?,22220936,,,,,50,none,none,
27040920,Pump Station Registration,Take photo of Pump Station,23190921,1749627302948,General Information,"General Information |
Take photo of Pump Station",1749627462936,100,high,text_similarity,1002
27040920,Pump Station Registration,GPS Location,27120920,,,,,66.67,none,none,
27040920,Pump Station Registration,Inspection Date,27060922,1749627302948,General Information,"General Information |
Inspection Date",1749627302950,0,none,manual,1001
27040920,General Information on Pump Station,Number of pumps in operation,27080929,1749627302948,General Information,"General Information |
Number of pumps in operation",1749627499538,0,none,manual,1003
27040920,General Information on Pump Station,Number of pumps standby,20390925,1749627302948,General Information,"General Information |
Number of pumps standby",1749627528651,0,none,manual,1004
27040920,General Information on Pump Station,Pump Station Status,28090934,1749627302948,General Information,"General Information |
Pump Station Status",1749627552609,0,none,manual,1005
27040920,General Information on Pump Station,Pump Status,24260925,1749627302948,General Information,"General Information |
Pump Status",1749627630352,0,none,manual,1006
