flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
8520967,Backup Power Supply,Issues with the backup generator ?,277540920,,,,,47.06,none,none,
8520967,Backup Power Supply,Is the backup generator well maintained and functional?,311440969,,,,,62.5,none,none,
8520967,Backup Power Supply,Take a picture of the generator ?,311460924,,,,,64.71,none,none,
8520967,Backup Power Supply,Do you have a backup generator at this Facility,311470920,,,,,46.67,none,none,
8520967,Chemicals,Are there any risk associated with Lime dosing?,11160920,,,,,62.07,none,none,
8520967,Chemicals,What is the dosage rate of Lime in grams per cubic meter?,12130920,,,,,66.67,none,none,
8520967,Chemicals,What is the dosing method used for Lime?,12130921,,,,,62.3,none,none,
8520967,Chemicals,Take photo of the risk/Lime dosing system?,15110920,,,,,58.82,none,none,
8520967,Chemicals,What are the risks?,1680929,,,,,64.71,none,none,
8520967,Chemicals,Is prechlorination carried out in the plant?,18390920,,,,,75.86,none,none,
8520967,Chemicals,Are there any risks associated with Soda Ash dosing?,2650924,,,,,62.07,none,none,
8520967,Chemicals,What is the dosage rate for Alum in (gram per cubic metre) on a daily basis?,3680925,,,,,65.38,none,none,
8520967,Chemicals,What is the dosage rate for Soda Ash in (gram per cubic metres) on a daily basis?,4520926,,,,,65.38,none,none,
8520967,Chemicals,Take Photo of the risks/Polymer dosing system,4520928,,,,,58.82,none,none,
8520967,Chemicals,What dosing method is used for Polymer?,4540920,,,,,52.17,none,none,
8520967,Chemicals,What is the dosage rate for Polymer in gram per cubic metres?,4550920,,,,,65.38,none,none,
8520967,Chemicals,What dosing method is used for Soda Ash?,5690924,,,,,52.17,none,none,
8520967,Chemicals,Are there any risks associated with Alum dosing?,5700922,,,,,62.07,none,none,
8520967,Chemicals,What dosing method is used for Alum?,600921,,,,,52.17,none,none,
8520967,Chemicals,What dosing method is used for Prechlorination?,610922,,,,,55.17,none,none,
8520967,Chemicals,Are there any risks associated with Polymer dosing?,6650920,,,,,62.07,none,none,
8520967,Chemicals,What are the risks?,6650921,,,,,64.71,none,none,
8520967,Chemicals,Are there any risks associated with prechlorination system?,7570925,,,,,62.07,none,none,
8520967,Chemicals,What is the dosage rate for Chlorine in (gram per cubic metre) for Prechlorination?,7580925,,,,,65.38,none,none,
8520967,Chemicals,What are the risks?,7620921,,,,,64.71,none,none,
8520967,Chemicals,What are the risks?,7970920,,,,,64.71,none,none,
8520967,Chemicals,Take a Photo of the risks/ Prechlorination system.,8660924,,,,,52.94,none,none,
8520967,Chemicals,What chemicals are use for water treatment?,8660925,,,,,63.77,none,none,
8520967,Chemicals,Take a Photo of the risk/Alum dosing system,8660927,,,,,53.52,none,none,
8520967,Chemicals,Take photo of risk/Soda Ash Dosing System,9650920,,,,,48.48,none,none,
8520967,Chemicals,What are the risks?,9670921,,,,,64.71,none,none,
8520967,Constraints and Recommendation,Have you noted any production constraints?,1580931,,,,,58.82,none,none,
8520967,Constraints and Recommendation,Any final recommendation?,3580926,,,,,53.85,none,none,
8520967,Constraints and Recommendation,Signature of DWS Officer,5570927,,,,,50.0,none,none,
8520967,Constraints and Recommendation,Please provide details of production constraints,6580930,,,,,57.89,none,none,
