group,indicator,calculation,method
Total Overview (Cards),Total Pump Stations,"COUNTDISTINCT(COALESCE([pump_station_name],[gps_location]))",auto
Total Overview (Cards),Inspected (12 mo),"RECENT([inspection_date],12)",auto
Total Overview (Cards),% Operational,"PERCENT(OR([station_status]=""Operational"",AND([electrical_panel]=""Satisfactory"",[pump_station_lid]=""Covered"",[non_return_valve]=""Operational"",[sluice_valve]=""Operational"",[guardrails_pump_station]=""Secured"")))",manual
Total Overview (Cards),Critical issues,"COUNT(OR(IN([station_status],""Not Operational"",""Overflowing"",""Blocked""),AND(IN([electrical_panel],""Broken"",""Electrical hazard""),[pump_station_lid]=""Missing"",[non_return_valve]=""Faulty"",[sluice_valve]=""Faulty"",[guardrails_pump_station]=""Missing"",[ohs_equipment]=""Not available"")))",manual
Pump Stations Operational Map,Operationality,MAP([station_status]),auto
Pump Stations Operational Map,Electrical issues,MAP([electrical_panel]),auto
Pump Stations Operational Map,Standby facility,MAP([num_pumps_standby]),auto
Pumps at a glance - Structural & Site Condition,Ground conditions,DISTRIBUTION([ground_conditions]),manual
Pumps at a glance - Structural & Site Condition,Facility condition,DISTRIBUTION([facility_condition]),manual
Pumps at a glance - Structural & Site Condition,Security gate & fencing,DISTRIBUTION([security_gate_fencing]),manual
Pumps at a glance - Structural & Site Condition,Non-return valve,DISTRIBUTION([non_return_valve]),manual
Pumps at a glance - Structural & Site Condition,Sluice valve,DISTRIBUTION([sluice_valve]),manual
Pumps at a glance - Structural & Site Condition,Ventilation,DISTRIBUTION([ventilation]),manual
Pumps at a glance - Structural & Site Condition,Electrical panel,DISTRIBUTION([electrical_panel]),manual
Pumps at a glance - Structural & Site Condition,Pump station lid,DISTRIBUTION([pump_station_lid]),manual
Pumps at a glance - Structural & Site Condition,Gantry,DISTRIBUTION([gantry]),manual
Pumps at a glance - Structural & Site Condition,Hour run meter,DISTRIBUTION([hour_run_meter]),manual
Pumps at a glance - Structural & Site Condition,Amp meter,DISTRIBUTION([amp_meter]),manual
Pumps at a glance - Structural & Site Condition,Volt meter,DISTRIBUTION([volt_meter]),manual
Pumps at a glance - Structural & Site Condition,Guardrails,DISTRIBUTION([guardrails_pump_station]),manual
Pumps at a glance - Structural & Site Condition,Odour,DISTRIBUTION([odour]),manual
Pumps at a glance - Structural & Site Condition,Fats / grease balls,DISTRIBUTION([fats_grease_balls]),manual
Pumps at a glance - Structural & Site Condition,Lights,DISTRIBUTION([lights]),manual
Pumps at a glance - Structural & Site Condition,Water supply,DISTRIBUTION([water_supply]),manual
Pumps at a glance - Structural & Site Condition,Power backup system,DISTRIBUTION([power_backup_system]),manual
Pumps at a glance - Structural & Site Condition,OHS equipment,DISTRIBUTION([ohs_equipment]),manual
