#,Group,Indicator,Feasible?,Used questionnaire(s),Used questions,Guidance,Logic,Calculation Comprehensive monitoring,Remarks,,
1,Total Overview (Cards),Total Pump Stations,Yes,Registration,"1749611657406 (Name)
1749611742881 (GPS)",,Count unique pump-station registration records.,COUNT DISTINCT registration records by 1749611657406 (fall back to 1749611742881 if name duplicated).,,,
2,,Inspected (12 mo),Yes,Monitoring,1749611905374 (Inspection date),,IF (inspection_date < 12 months) -> Inspected, count of Inspected.,COUNT DISTINCT station_id WHERE 1749611905374 <12 months.,,
3,,% Operational,Yes,Monitoring,1749613710063 (Pump Station Status),,Pump Station Status = Operational -> counts as operational. % = operational / total.,"Station is Operational IF ANY:
  • 1749613710063 =Operational} OR (
  • 1749612965593=Satisfactory AND
  • 1749613029710 = Covered AND
  • 1749612781881 = Operational AND
  • 1749612827907 = Operational AND
  • 1749613433763 = Secured)
Count = number of stations meeting any condition / total stations × 100.","should Operational status be taken directly from this single field, or derived from a checklist (electrical panel + lid + valves + standby)? Form value can be set independently of the field-level statuses, which means a 'Pump Station Status = Operational' could co-exist with 'Electrical Panel = Broken'.",Done,
4,,Critical issues,Yes,Monitoring -> Derived,"1749613710063 (Status)
1749612965593 (Elec panel)
1749613029710 (Lid)
1749612781881 (Non-return valve)
1749612827907 (Sluice valve)
1749613433763 (Guardrails)
1749613958725 (OHS)",,Count of stations where risk = red.,"Station is CRITICAL (red) IF ANY:
  • 1749613710063 ∈ {Not Operational, Overflowing, Blocked} OR (
  • 1749612965593 ∈ {Broken, Electrical hazard} AND
  • 1749613029710 = Missing AND
  • 1749612781881 = Faulty AND
  • 1749612827907 = Faulty AND
  • 1749613433763 = Missing AND  
• 1749613958725 = Not available)
Count = number of stations meeting any condition.",,,
5,,Standby Facility,,Monitoring,1749613513292 (Number of pumps standby),,IF (Number of pumps standby > 0) -> Has standby. Count of stations with standby.,COUNT stations where 1749613513292 ≥ 1.,the form does not capture the CONDITION of the standby pump (working / faulty / under maintenance). The dashboard currently shows a Good/Fair/No-standby split — that 'Fair' bucket is fabricated. Recommend adding a 'Standby pump condition' option-question to the Monitoring form.,,
6,Pump Stations Operational Map,Operationality,Yes,Registration + Monitoring,"1749611742881 (GPS)
1749613710063 (Status)",,Pin colour from Pump Station Status.,For each station with 1749611742881 present: pin colour from latest 1749613710063.,Stations without GPS in Registration cannot be placed on the map,,
7,,Electrical issues,Yes,Monitoring,"1749612965593
1749613144170
1749613187910
1749613395029
1749613872416
1749613534231",,Pin highlighted if any electrical-linked form field reports fault.,"Pin = RED if ANY:
  1749612965593 ∈ {Broken, Electrical hazard, Need Maintenance}, OR (
  1749613144170 = Faulty, AND
  1749613187910 = Faulty, AND
  1749613395029 = Faulty, AND
  1749613872416 ∈ {Faulty, Not available}, AND
  1749613534231 = None).","should 'Need Maintenance' for electrical panel count as an issue, or only Broken / Electrical hazard? Current dashboard logic includes 'Need Maintenance'.",,
8,,Standby facility,Yes,Monitoring,"1749613513292
1749627528651",,Pin colour by presence of operable standby pump.,"Pin green if 1749613513292 ≥ 1, red otherwise.",,,
9,Pumps at a glance,Pumps Functioning,,Monitoring,1749613489958 (Number of pumps in operation),,Bucket each station by (designPumps - functioning): 0 / 1 / 2+.,"Per station: pumps_offline = (design pumps − 1749613489958).
Bucket: 0 pumps offline, 1 offline, 2+ offline.",FORM GAP: the form does NOT capture the TOTAL number of pumps designed for the station. Without 'Design pump count' we cannot compute (design − operating). Option (a) add a Registration field for design pump count,"lets indeed go with option b, can you update the fomula accordingly Halimata Sawadogo",OK
10,,Standby Pump Availability (amount),,Monitoring,1749613513292,,Donut: Good vs Fair vs No standby. Counts shown next to chart.,COUNT IDs WHERE 1749613513292 >0,Same gap as the KPI — no 'standby condition' field. The Good / Fair / No-standby donut shown today is fabricated.,Done,
11,Pumps at a glance - Structural & Site Condition,Ground conditions,Yes,Monitoring,1749612149744,,Options: Good / Satisfactory / Maintenance in progress / Poor.,COUNT per option of 1749612149744: Good / Satisfactory / Poor / Maintenance in progress.,,,
